fips,hpi2015,hpi2016,hpi2017,hpi2018,hpi2019,hpi2020,hpi2021,pop_2020,state,county,deaths,mortality_rate
45029,147.3313333333333,157.24,168.324,178.272,186.5286666666666,192.478,215.9513333333334,38536,South Carolina,Colleton,8301,215.40897
45031,125.2327272727273,128.8136363636364,132.8636363636364,139.1163636363636,144.7063636363636,150.0472727272727,165.9909090909091,62843,South Carolina,Darlington,10446,166.22377
45033,126.22,130.63,134.28,140.92,146.01,151.8,168.06,28275,South Carolina,Dillon,7019,248.24049
45035,152.7882352941177,164.3558823529412,176.7458823529411,187.2011764705883,195.9764705882353,202.1082352941177,226.6129411764707,162159,South Carolina,Dorchester,14889,91.817291
45037,130.14,134.8572727272727,139.1327272727273,145.8236363636363,152.7972727272728,159.3336363636364,175.4554545454545,25672,South Carolina,Edgefield,3063,119.31287
45039,123.047,125.353,130.535,136.112,142.511,146.748,162.742,20880,South Carolina,Fairfield,7165,343.15134
45041,126.02375,130.09375,133.74625,140.2525,145.535,151.27,167.2325,136811,South Carolina,Florence,33243,242.98485
45043,135.71,142.6933333333333,149.3933333333333,157.4066666666666,163.7766666666667,169.73,188.8966666666666,63506,South Carolina,Georgetown,8209,129.26338
45045,127.178918918919,133.6013513513514,141.8802702702702,151.2835135135136,160.4821621621622,166.6002702702704,184.1459459459461,527207,South Carolina,Greenville,58786,111.50459
45047,128.1008333333333,134.0525,141.3783333333334,150.0491666666667,158.7441666666667,164.9208333333333,181.98,69388,South Carolina,Greenwood,10604,152.82181
45049,131.7964285714285,136.8521428571429,143.5742857142857,153.2164285714287,159.7649999999999,166.1192857142858,187.5121428571428,18519,South Carolina,Hampton,4294,231.86996
45051,126.22,130.6300000000001,134.2800000000001,140.92,146.01,151.8,168.06,353745,South Carolina,Horry,38453,108.7026
45053,131.83,136.86,143.76,153.61,160.12,166.44,188.2,29143,South Carolina,Jasper,3507,120.33765
