zip,year,hpi
031,1976,28.67
031,1977,30.9
031,1978,33.64
031,1979,37.71
031,1980,43.1
031,1981,44.14
031,1982,46.13
031,1983,48.78
031,1984,54.73
031,1985,64.62
031,1986,76.23
031,1987,87.18000000000001
031,1988,90.77
031,1989,90.70999999999999
031,1990,84.27
031,1991,77.17
031,1992,73.84999999999999
031,1993,72.29000000000001
031,1994,71.7
031,1995,72.48
031,1996,74.45999999999999
031,1997,77.38
031,1998,82.36
031,1999,89.02
031,2000,100
031,2001,112.97
031,2002,126.43
031,2003,136.01
031,2004,152.75
031,2005,167.4
031,2006,170.43
031,2007,166.59
031,2008,157.79
031,2009,148.28
031,2010,143.32
031,2011,138.49
031,2012,133.93
031,2013,135.35
031,2014,140.13
031,2015,145.5
031,2016,151.71
031,2017,160.9
031,2018,170.64
031,2019,178.91
031,2020,188.76
031,2021,215.1
031,2022,248.61
032,1983,46.46
032,1984,50.88
032,1985,60.02
032,1986,70
032,1987,83.55
032,1988,90.97
032,1989,93.3
032,1990,87.01000000000001
032,1991,80.40000000000001
032,1992,77.91
032,1993,76.31
032,1994,74.70999999999999
032,1995,75.41
032,1996,78.18000000000001
032,1997,79.31999999999999
032,1998,83.29000000000001
032,1999,88.84999999999999
032,2000,100
032,2001,110.07
032,2002,121.9
032,2003,133.01
032,2004,149.75
032,2005,168.93
032,2006,177.07
032,2007,175.26
032,2008,170.59
032,2009,157.63
032,2010,149.7
032,2011,143.5
032,2012,140.42
032,2013,140.2
032,2014,142.42
032,2015,147.14
032,2016,151.6
032,2017,159.9
032,2018,170.78
032,2019,180.07
032,2020,189.29
032,2021,218.33
032,2022,257.26
033,1983,41.49
033,1984,47.25
033,1985,55.08
033,1986,68.53
033,1987,80.73
033,1988,86.88
033,1989,87.04000000000001
033,1990,82.55
033,1991,77.16
033,1992,74.67
033,1993,73.59
033,1994,73.72
033,1995,74.08
033,1996,75.8
033,1997,78.51000000000001
033,1998,83.39
033,1999,87.70999999999999
033,2000,100
033,2001,111.62
033,2002,124.46
033,2003,134.4
033,2004,150.83
033,2005,165.27
033,2006,171.69
033,2007,169.86
033,2008,163.85
033,2009,152.11
033,2010,144.82
033,2011,138.48
033,2012,134.76
033,2013,135.51
033,2014,140.88
033,2015,144.46
033,2016,149.84
033,2017,156.54
033,2018,165.67
033,2019,174
033,2020,185.96
033,2021,211.61
033,2022,244.46
034,1977,32.79
034,1978,34.63
034,1979,35.79
034,1980,40.6
034,1981,
034,1982,
034,1983,51.2
034,1984,56.57
034,1985,61.75
034,1986,70.26000000000001
034,1987,81.33
034,1988,97.08
034,1989,100.17
034,1990,95.81
034,1991,87.97
034,1992,85.44
034,1993,84.06
034,1994,83.2
034,1995,82.72
034,1996,81.65000000000001
034,1997,82.09
034,1998,87.02
034,1999,91.56
034,2000,100
034,2001,109.44
034,2002,118.63
034,2003,127.13
034,2004,143.69
034,2005,160.82
034,2006,170.19
034,2007,169.42
034,2008,164.59
034,2009,154.97
034,2010,148.19
034,2011,144.1
034,2012,136.75
034,2013,134.28
034,2014,136.07
034,2015,138.23
034,2016,141.97
034,2017,145.95
034,2018,153.49
034,2019,163.43
034,2020,172.22
034,2021,195.44
034,2022,229.15
035,1986,73.03
035,1987,91.29000000000001
035,1988,96.34
035,1989,106.86
035,1990,104.19
035,1991,97.48999999999999
035,1992,93.63
035,1993,93.03
035,1994,88.47
035,1995,90.83
035,1996,88.73999999999999
035,1997,91.48999999999999
035,1998,90.95
035,1999,93.23999999999999
035,2000,100
035,2001,108.17
035,2002,118.14
035,2003,125.86
035,2004,145.92
035,2005,167.58
035,2006,177.33
035,2007,181.07
035,2008,177.72
035,2009,167.06
035,2010,153.97
035,2011,152.53
035,2012,148.3
035,2013,146.87
035,2014,149
035,2015,148.12
035,2016,154.9
035,2017,161.15
035,2018,168.27
035,2019,177.42
035,2020,187.45
035,2021,222.34
035,2022,257.47
036,1999,88.36
036,2000,100
036,2001,102.98
036,2002,110.3
036,2003,117.86
036,2004,136.33
036,2005,153.5
036,2006,163.68
036,2007,173.48
036,2008,167.36
036,2009,160.17
036,2010,151.03
036,2011,147.06
036,2012,138.65
036,2013,140.36
036,2014,136.34
036,2015,140.45
036,2016,136.38
036,2017,141.41
036,2018,151.66
036,2019,158.37
036,2020,166.12
036,2021,190.76
036,2022,227.85
037,1985,51.32
037,1986,58.12
037,1987,67.62
037,1988,80.34
037,1989,84.73
037,1990,80.87
037,1991,79.66
037,1992,78.25
037,1993,77.94
037,1994,77.92
037,1995,81.88
037,1996,83.3
037,1997,86.20999999999999
037,1998,88.84
037,1999,93
037,2000,100
037,2001,109.64
037,2002,119.45
037,2003,127.31
037,2004,146.41
037,2005,164.71
037,2006,171.12
037,2007,176.31
037,2008,175.12
037,2009,169.11
037,2010,161.64
037,2011,158.47
037,2012,156.36
037,2013,153.71
037,2014,157.3
037,2015,161.29
037,2016,161.17
037,2017,164.6
037,2018,171.21
037,2019,180.7
037,2020,191.44
037,2021,218.17
037,2022,255.34
038,1976,21.38
038,1977,26.24
038,1978,26.36
038,1979,34.53
038,1980,34.7
038,1981,35.04
038,1982,39.28
038,1983,42.98
038,1984,48.26
038,1985,55.48
038,1986,66.38
038,1987,76.14
038,1988,80.40000000000001
038,1989,80.75
038,1990,76.27
038,1991,70.43000000000001
038,1992,68.11
038,1993,67.95999999999999
038,1994,68.31999999999999
038,1995,69.39
038,1996,72.26000000000001
038,1997,74.89
038,1998,79.64
038,1999,86.2
038,2000,100
038,2001,110.38
038,2002,121.41
038,2003,129.85
038,2004,143.08
038,2005,158.2
038,2006,162.01
038,2007,159.71
038,2008,153.04
038,2009,141.22
038,2010,136.11
038,2011,132.53
038,2012,130.4
038,2013,131.88
038,2014,138.22
038,2015,143.73
038,2016,149.22
038,2017,158.26
038,2018,167.77
038,2019,176.27
038,2020,184.54
038,2021,208.95
038,2022,241.68
039,1979,32.99
039,1980,
039,1981,37.09
039,1982,39.08
039,1983,41.31
039,1984,47.31
039,1985,53.11
039,1986,61.89
039,1987,71.97
039,1988,79.39
039,1989,78.83
039,1990,74.68000000000001
039,1991,70.15000000000001
039,1992,68.8
039,1993,67.8
039,1994,67.31999999999999
039,1995,68.98
039,1996,71.73999999999999
039,1997,73.40000000000001
039,1998,79.06999999999999
039,1999,86.45
039,2000,100
039,2001,111.28
039,2002,122.23
039,2003,131.31
039,2004,145.91
039,2005,162.69
039,2006,168.3
039,2007,166.55
039,2008,164.61
039,2009,154.98
039,2010,146.67
039,2011,145.06
039,2012,141.74
039,2013,142.11
039,2014,147.14
039,2015,150.07
039,2016,157.17
039,2017,167.41
039,2018,177.18
039,2019,183.77
039,2020,192.29
039,2021,217.75
039,2022,252.43
040,1977,27.37
040,1978,34.01
040,1979,36.33
040,1980,38.14
040,1981,39.16
040,1982,41.38
040,1983,44.45
040,1984,50.48
040,1985,57.05
040,1986,64.28
040,1987,73.63
040,1988,83.3
040,1989,87.47
040,1990,84.95999999999999
040,1991,80.98
040,1992,80.61
040,1993,79.59
040,1994,79.13
040,1995,79.73
040,1996,81.48999999999999
040,1997,83.25
040,1998,86.7
040,1999,91.25
040,2000,100
040,2001,109.2
040,2002,119.36
040,2003,127.94
040,2004,142.93
040,2005,158.68
040,2006,164.95
040,2007,165.58
040,2008,162.32
040,2009,153.03
040,2010,147.46
040,2011,144.21
040,2012,141.35
040,2013,143.15
040,2014,145.45
040,2015,150.88
040,2016,155.94
040,2017,165.3
040,2018,175.5
040,2019,184.05
040,2020,193.72
040,2021,221.11
040,2022,258.52
041,1977,25.39
041,1978,28.62
041,1979,32.46
041,1980,34.35
041,1981,41.66
041,1982,41.45
041,1983,41.61
041,1984,47.77
041,1985,54.64
041,1986,61.94
041,1987,70.55
041,1988,80.64
041,1989,82.17
041,1990,79.81
041,1991,76.62
041,1992,75.67
041,1993,74.34999999999999
041,1994,73.42
041,1995,74.37
041,1996,76.95999999999999
041,1997,79.98
041,1998,83.11
041,1999,89.09
041,2000,100
041,2001,110.67
041,2002,121.72
041,2003,130.42
041,2004,147.5
041,2005,163.92
041,2006,167.47
041,2007,168
041,2008,165.62
041,2009,158.88
041,2010,153.29
041,2011,151.74
041,2012,150.88
041,2013,153
041,2014,159.67
041,2015,166.25
041,2016,175.09
041,2017,186.8
041,2018,200.62
041,2019,210.53
041,2020,220.35
041,2021,253.72
041,2022,300
042,1976,29.35
042,1977,39.04
042,1978,35.91
042,1979,46.14
042,1980,53.51
042,1981,
042,1982,49.8
042,1983,51.04
042,1984,59.17
042,1985,60.7
042,1986,66.95
042,1987,71.72
042,1988,87.68000000000001
042,1989,95.66
042,1990,96.03
042,1991,97.15000000000001
042,1992,94.59999999999999
042,1993,91.81999999999999
042,1994,89.41
042,1995,88.34999999999999
042,1996,89.77
042,1997,89.43000000000001
042,1998,93.59
042,1999,95.73999999999999
042,2000,100
042,2001,108.13
042,2002,116.1
042,2003,123.18
042,2004,137.91
042,2005,155.5
042,2006,163.95
042,2007,165.58
042,2008,163.16
042,2009,152.24
042,2010,147.01
042,2011,142.64
042,2012,138.54
042,2013,139.72
042,2014,140.71
042,2015,143
042,2016,146.83
042,2017,153.2
042,2018,162.2
042,2019,171.9
042,2020,180.82
042,2021,209.88
042,2022,248.59
043,1985,64.06
043,1986,69.29000000000001
043,1987,75.14
043,1988,90.19
043,1989,92.01000000000001
043,1990,93.16
043,1991,95.01000000000001
043,1992,93.95
043,1993,93.39
043,1994,90.51000000000001
043,1995,89.70999999999999
043,1996,92.8
043,1997,90.87
043,1998,94.81
043,1999,95.59
043,2000,100
043,2001,105.08
043,2002,110.43
043,2003,117.13
043,2004,134.16
043,2005,148.92
043,2006,156.36
043,2007,159.68
043,2008,157.75
043,2009,151.26
043,2010,146.75
043,2011,144.19
043,2012,140.94
043,2013,140.69
043,2014,141.25
043,2015,144.3
043,2016,149.83
043,2017,151.6
043,2018,163.32
043,2019,167.5
043,2020,178.23
043,2021,204.72
043,2022,240.06
044,1979,45.12
044,1980,51.8
044,1981,57.97
044,1982,
044,1983,52.72
044,1984,53
044,1985,60.03
044,1986,63.52
044,1987,72.31
044,1988,81.53
044,1989,88.17
044,1990,88.51000000000001
044,1991,86.37
044,1992,88.40000000000001
044,1993,88.8
044,1994,87.84
044,1995,86.75
044,1996,89.04000000000001
044,1997,90.04000000000001
044,1998,93.81999999999999
044,1999,94.78
044,2000,100
044,2001,106.35
044,2002,112.93
044,2003,119.08
044,2004,131.39
